tipo,n,phi,cantidad_literales_backbone,cantidad_literales_positivos,cantidad_literales_negativos,porcentaje_backbone,porcentaje_positivo_backbone,porcentaje_negativo_backbone,tiempo_extraccion
avis_subset_sum,500,49,500,0,500,1.0,0.0,1.0,3676
avis_subset_sum,10000,0,10000,10000,0,1.0,1.0,0.0,44038
avis_subset_sum,50,74,50,24,26,1.0,0.48,0.52,4742
avis_subset_sum,1000,24,1000,1000,0,1.0,1.0,0.0,5805
avis_subset_sum,50,24,50,24,26,1.0,0.48,0.52,4710
avis_subset_sum,100,99,100,49,51,1.0,0.49,0.51,6920
avis_subset_sum,200,0,200,0,200,1.0,0.0,1.0,2394
avis_subset_sum,1000,99,1000,1000,0,1.0,1.0,0.0,5770
avis_subset_sum,100,0,100,49,51,1.0,0.49,0.51,7349
avis_subset_sum,500,24,500,0,500,1.0,0.0,1.0,3277
avis_subset_sum,200,49,200,0,200,1.0,0.0,1.0,2365
avis_subset_sum,100,24,100,49,51,1.0,0.49,0.51,6886
avis_subset_sum,500,74,500,0,500,1.0,0.0,1.0,3551
avis_subset_sum,100,74,100,49,51,1.0,0.49,0.51,6599
avis_subset_sum,200,24,200,0,200,1.0,0.0,1.0,2387
avis_subset_sum,50,0,50,24,26,1.0,0.48,0.52,4425
avis_subset_sum,10000,49,10000,10000,0,1.0,1.0,0.0,48718
avis_subset_sum,1000,74,1000,1000,0,1.0,1.0,0.0,5762
avis_subset_sum,10000,24,10000,10000,0,1.0,1.0,0.0,44932
avis_subset_sum,200,74,200,0,200,1.0,0.0,1.0,2383
avis_subset_sum,10000,99,10000,10000,0,1.0,1.0,0.0,47762
avis_subset_sum,10000,74,10000,10000,0,1.0,1.0,0.0,45971
avis_subset_sum,50,99,50,24,26,1.0,0.48,0.52,4600
avis_subset_sum,50,49,50,24,26,1.0,0.48,0.52,4845
avis_subset_sum,500,0,500,0,500,1.0,0.0,1.0,3676
avis_subset_sum,500,99,500,0,500,1.0,0.0,1.0,3650
avis_subset_sum,100,49,100,49,51,1.0,0.49,0.51,6926
avis_subset_sum,1000,0,1000,1000,0,1.0,1.0,0.0,5912
avis_subset_sum,1000,49,1000,1000,0,1.0,1.0,0.0,5802
avis_subset_sum,200,99,200,0,200,1.0,0.0,1.0,2338
uncorrelated,1000,49,1000,628,372,1.0,0.628,0.372,69759
uncorrelated,10000,99,9993,9989,4,0.9993,0.9995997198038628,0.0004002801961372961,191029
uncorrelated,1000,24,1000,436,564,1.0,0.436,0.564,120314
uncorrelated,500,24,500,219,281,1.0,0.438,0.562,35215
uncorrelated,50,99,50,49,1,1.0,0.98,0.02,4821
uncorrelated,5000,24,5000,2160,2840,1.0,0.432,0.568,335703
uncorrelated,200,0,200,17,183,1.0,0.085,0.915,7813
uncorrelated,100,49,100,64,36,1.0,0.64,0.36,27622
uncorrelated,200,24,200,89,111,1.0,0.445,0.555,28639
uncorrelated,500,49,500,310,190,1.0,0.62,0.38,58895
uncorrelated,1000,0,996,77,919,0.996,0.07730923694779117,0.9226907630522089,131279
uncorrelated,100,74,100,82,18,1.0,0.82,0.18,16029
uncorrelated,100,24,100,46,54,1.0,0.46,0.54,27747
uncorrelated,5000,0,5000,429,4571,1.0,0.0858,0.9142,259648
uncorrelated,1000,99,1000,999,1,1.0,0.999,0.001,6467
uncorrelated,500,0,500,39,461,1.0,0.078,0.922,40700
uncorrelated,500,99,500,499,1,1.0,0.998,0.002,4453
uncorrelated,10000,49,10000,6249,3751,1.0,0.6249,0.3751,855813
uncorrelated,200,99,200,199,1,1.0,0.995,0.005,2759
uncorrelated,200,49,200,123,77,1.0,0.615,0.385,20180
uncorrelated,50,74,50,41,9,1.0,0.82,0.18,8547
uncorrelated,200,74,200,161,39,1.0,0.805,0.195,17935
